raceethnicity,city,region,lawenforcementagency,cause,armed
White,Colton,West,Clackamas County Sheriff s Office,Gunshot,yes
White,Portland,West,Portland Police Department,Gunshot,yes
Black,Pittsburgh,Northeast,US Marshals Service  Pennsylvania State Police  Allegheny County Sheriff s Office,Gunshot,yes
White,Hanover,Northeast,Hummelstown Police Department,Gunshot,yes
White,Gettysburg,Northeast,Pennsylvania State Police,Gunshot,yes
White,Reading,Northeast,Pennsylvania State Police,Gunshot,yes
Black,Lancaster,Northeast,Lancaster Police Department,Gunshot,yes
White,Allentown,Northeast,Catasauqua Police Department,Gunshot,yes
White,Somerset,Northeast,Pennsylvania State Police,Gunshot,yes
Black,Spartanburg,Southeast,Spartanburg Police Department,Gunshot,yes
Black,Johnsonville,Southeast,Johnsonville Police Department and Florence County Sheriff s Department (Swat),Gunshot,yes
White,Peltzer,Southeast,Greenville County Sheriff s Office,Gunshot,yes
Black,North Charleston,Southeast,North Charleston Police Department,Gunshot,yes
White,Charleston,Southeast,North Charleston Police Department,Gunshot,yes
Black,Charleston,Southeast,South Carolina State Law Enforcement Division,Gunshot,No
White,Lancaster,Southeast,Lancaster County Sheriff s Department,Gunshot,No
White,Columbia,Southeast,Lexington County Sheriff s Office,Gunshot,No
White,Boiling Springs,Southeast,Spartanburg County Sheriff s Office,Gunshot,yes
Black,Memphis,Southeast,Shelby County Sheriff s Department [US Marshals Service Task Force],Gunshot,yes
Hispanic/Latino,Nashville,Southeast,Metro Nashville Police Department,Gunshot,yes
White,Nashville,Southeast,Nashville Metropolitan Police Department,Gunshot,yes
White,Memphis,Southeast,Memphis Police Department,Gunshot,yes
White,Huntingdon,Southeast,Carroll County Sheriff s Office,Gunshot,yes
Black,Memphis,Southeast,Memphis Police Department,Gunshot,yes
Black,Dallas,Southwest,Dallas Police Department,Gunshot,yes
Black,Fort Worth,Southwest,Fort Worth Police Department,Gunshot,yes
Hispanic/Latino,El Paso,Southwest,El Paso Police Department,Gunshot,yes
Hispanic/Latino,Fort Worth,Southwest,Fort Worth Police Department,Gunshot,yes
Hispanic/Latino,El Paso,Southwest,El Paso Police Department,Gunshot,yes
Hispanic/Latino,Roma,Southwest,US Border Patrol,Gunshot,yes
